ID;areaGobierno;delegacion;servicio;departamento;nivelPuesto;puesto;nombrePuesto;tipoPuesto;tipoPersonal;formaProvision;adcripcionGrupos;adcripcionEscalas;nivelComplementoDestino;complementoEspecificoPuntos;complementoEspecificoEuros;observacionesRequisitos;situacion
15;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
16;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
17;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";VACANTE
18;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
19;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
20;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
21;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";VACANTE
22;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
23;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
24;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
25;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
26;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
27;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;17;195;7735;"TA-0; AERL";
28;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
29;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;17;195;7735;"TA-0; AERL";
30;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
31;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ;AU;AU026;AGENTE DE PUBLICIDAD Y PATROCINIO;NS;L;-;C2;-;15;195;7735;TA-0;
32;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ;AU;AU029;AUXILIAR DE PRODUCCIÓN;NS;L;-;C2;-;15;195;7735;TA-0;
33;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ;AU;AU029;AUXILIAR DE PRODUCCIÓN;NS;L;-;C2;-;15;195;7735;TA-0;
34;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;SERVICIO DE ASISTENCIA JURÍDICA Y DERECHO A LA INFORMACION;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
35;ALCALDÍA -  PRESIDENCIA;ALCALDÍA -  PRESIDENCIA;SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO;SERVICIO DE INFORMÁTICA Y SISTEMA DE INFORMACIÓN MUNICIPAL;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
36;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
37;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
38;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
39;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
40;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
41;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";VACANTE
42;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
43;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
44;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
45;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
46;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
47;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
48;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
49;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
50;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR;AU;AU007;AUXILIAR DE ENFERMERÍA Y O CLINICA;NS;F/L;-;C2;A.G.;14;195;7735;"TA-0; AERL";
51;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO  DE ATENCIÓN A LA INFANCIA Y ADOLESCENCIA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-7; AERL";
52;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";VACANTE
53;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
54;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
55;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
56;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;TA-0;
57;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES;SERVICIO DE ACCIÓN SOCIAL Y MAYORES;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";VACANTE
58;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;DEPARTAMENTO DE IGUALDAD Y DIVERSIDAD;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
59;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;DEPARTAMENTO DE IGUALDAD Y DIVERSIDAD;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
60;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;DEPARTAMENTO DE IGUALDAD Y DIVERSIDAD;AU;AU007;AUXILIAR DE ENFERMERÍA Y O CLINICA;NS;F/L;-;C2;A.G.;14;195;7735;"TA-0; AERL";
61;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;DEPARTAMENTO DE IGUALDAD Y DIVERSIDAD;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-1; AERL";VACANTE
62;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;JEFATURA DEPARTAMENTO DE JUVENTUD;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
63;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;JEFATURA DEPARTAMENTO DE JUVENTUD;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
64;"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL 
Y POLÍTICAS INCLUSIVAS";DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO;AU;AU002;AUXILIAR ADMINISTRATIVO;NS;F/L;-;C2;A.G.;15;195;7735;"TA-0; AERL";
